time_utc;border;da_net_nl_exports_mw;fin_net_nl_exports_mw;id_adjustment_mw
14:00:00;BE;967,7;1 138,0;170,4
14:00:00;DE;1 756,0;786,2;-969,8
14:00:00;DK;700,0;-386,8;-1 086,8
14:00:00;GB;-938,0;-472,0;466,0
14:00:00;NO;0,0;0,0;0,0
15:00:00;BE;291,4;363,5;72,2
15:00:00;DE;858,8;1 360,0;501,3
15:00:00;DK;700,0;383,3;-316,7
15:00:00;GB;-866,0;-859,0;7,0
15:00:00;NO;205,2;87,0;-118,2
16:00:00;BE;-154,4;-135,5;18,9
16:00:00;DE;1 183,0;929,6;-253,5
16:00:00;DK;700,0;365,4;-334,6
16:00:00;GB;-862,0;67,0;929,0
16:00:00;NO;155,8;111,1;-44,6
17:00:00;BE;557,0;787,8;230,8
17:00:00;DE;1 241,8;1 183,3;-58,5
17:00:00;DK;700,0;-60,3;-760,3
17:00:00;GB;-846,0;212,0;1 058,0
17:00:00;NO;0,0;77,4;77,4
18:00:00;BE;791,5;1 050,6;259,1
18:00:00;DE;1 534,0;1 832,2;298,2
18:00:00;DK;700,0;16,7;-683,3
18:00:00;GB;-117,0;-68,0;49,0
18:00:00;NO;0,0;51,2;51,2
19:00:00;BE;899,2;145,2;-754,0
19:00:00;DE;1 491,4;2 988,9;1 497,5
19:00:00;DK;700,0;405,2;-294,8
19:00:00;GB;481,0;0,0;-481,0
19:00:00;NO;0,0;50,4;50,4
20:00:00;BE;1 164,7;1 359,2;194,5
20:00:00;DE;2 505,8;3 277,3;771,5
20:00:00;DK;700,0;695,0;-5,0
20:00:00;GB;-85,0;50,0;135,0
20:00:00;NO;0,0;69,5;69,5
21:00:00;BE;1 603,1;2 073,2;470,1
21:00:00;DE;3 086,7;3 691,2;604,5
21:00:00;DK;506,5;692,5;186,0
21:00:00;GB;-255,0;212,0;467,0
21:00:00;NO;0,0;31,7;31,7
22:00:00;BE;1 877,6;2 154,0;276,3
22:00:00;DE;3 460,2;3 654,2;194,0
22:00:00;DK;361,8;700,0;338,2
22:00:00;GB;-595,0;-490,0;105,0
22:00:00;NO;0,0;22,5;22,5
23:00:00;BE;2 723,9;2 459,4;-264,5
23:00:00;DE;5 112,6;4 738,1;-374,5
23:00:00;DK;153,0;582,1;429,0
23:00:00;GB;-388,0;-400,0;-12,0
23:00:00;NO;0,0;533,5;533,5
